2016-01-01,inject,903
2016-01-01,invoke,7750
2016-01-01,ipykernel,35156
2016-01-01,ipython,163109
2016-01-01,ipython-genutils,98226
2016-01-01,ipywidgets,19541
2016-01-01,iso8601,121565
2016-01-01,isodate,22446
2016-01-01,isort,14564
2016-01-01,itsdangerous,229714
2016-01-01,jaraco-classes,1812
2016-01-01,jaraco-context,262
2016-01-01,jaraco-functools,2007
2016-01-01,jaydebeapi,9021
2016-01-01,jedi,10153
2016-01-01,jellyfish,3525
2016-01-01,jira,22787
2016-01-01,jmespath,1380966
2016-01-01,joblib,12767
2016-01-01,jpype1,1593
2016-01-01,json5,344
2016-01-01,jsondiff,67
2016-01-01,jsonpatch,48538
2016-01-01,jsonpickle,8722
2016-01-01,jsonpointer,50311
2016-01-01,jsonschema,216915
2016-01-01,junit-xml,19684
2016-01-01,jupyter,18453
2016-01-01,jupyter-client,32505
2016-01-01,jupyter-console,19394
2016-01-01,jupyter-core,32311
2016-01-01,kafka-python,49735
2016-01-01,keras,3283
2016-01-01,keyring,17246
2016-01-01,kiwisolver,307
2016-01-01,klein,2933
2016-01-01,kombu,191193
2016-01-01,langcodes,126
2016-01-01,lark,72
2016-01-01,lazy-object-proxy,83828
2016-01-01,limits,1779
2016-01-01,llvmlite,1460
2016-01-01,locket,716
2016-01-01,lockfile,106998
2016-01-01,logbook,53150
2016-01-01,lxml,269767
2016-01-01,lz4,3582
2016-01-01,mako,249429
2016-01-01,marisa-trie,1141
2016-01-01,markdown,90288
2016-01-01,marshmallow,13281
2016-01-01,marshmallow-sqlalchemy,1742
2016-01-01,matplotlib,67879
2016-01-01,maxminddb,23038
2016-01-01,mccabe,208982
2016-01-01,meinheld,811
2016-01-01,mistune,37206
2016-01-01,mmh3,49253
2016-01-01,mock,454852
2016-01-01,monotonic,93763
2016-01-01,more-itertools,12854
2016-01-01,morepath,668
2016-01-01,moto,17729
2016-01-01,mpmath,13896
2016-01-01,multiprocess,4217
2016-01-01,murmurhash,1093
2016-01-01,mypy,689
2016-01-01,mysqlclient,19669
2016-01-01,natsort,5928
2016-01-01,nbconvert,31793
2016-01-01,nbformat,31281
2016-01-01,ndg-httpsclient,496558
2016-01-01,netaddr,125626
2016-01-01,networkx,67834
2016-01-01,ninja,49
2016-01-01,nltk,35876
2016-01-01,nodeenv,20293
2016-01-01,nose,410689
2016-01-01,notebook,34194
2016-01-01,numba,1944
2016-01-01,numpy,256251
2016-01-01,oauth2client,119472
2016-01-01,oauthlib,119828
2016-01-01,openpyxl,27499
2016-01-01,ordered-set,945
2016-01-01,oscrypto,258
2016-01-01,overrides,1236
2016-01-01,packaging,27014
2016-01-01,pandas,86918
2016-01-01,pandocfilters,936
2016-01-01,paramiko,560116
2016-01-01,parse,29155
2016-01-01,parsedatetime,28428
2016-01-01,partd,454
2016-01-01,pastedeploy,74909
